EAN;Produto_Pesquisa;Preco_Principal;Qtd_Pesquisas_Principal;Farmacia_Principal;Rede_Principal;Menor_Preco_Concorrente;Loja_Menor_Preco_Concorrente;Rede_Menor_Preco_Concorrente;Qtd_Pesquisas_Concorrentes;Produto;Laboratório;Família;CURVA;Recomendacao;Ganho_Potencial;Margem_%;Lucro_Unitario;Preco_Medio;Dif_vs_Concorrente_R$;Dif_vs_Concorrente_%;Custo_Estimado;Lucro_Apos_Acompanhar;Margem_Apos_Acompanhar_%;Tipo_Alerta;Prioridade;Ação Recomendada;Ordem_Prioridade
7898656390223;MAMYPOKO FRD DIA&NOITE CALCA MEGA XG C/26;45.99;6;ZANOL E THOMAZ LTDA;Zanol e Thomaz;45.99;TRIANGULO DROGARIA LTDA;Triangulo;40.0;MAMYPOKO FRD DIA&NOITE CALCA MEGA XG C/26;UNICHARM;MAMYPOKO;A;SUBIR PREÇO URGENTE;21.43857142857143;-2.631006740595783;-1.210000000000001;45.99;0.0;0.0;47.2;-1.2100000000000009;-2.631006740595783;🟢 Ganho Rápido;🟡 Média;Avaliar aumento de preço com baixo risco competitivo.;3
7898656390285;MAMYPOKO FRD CALCA MEGA XXG C/24;54.99;6;ZANOL E THOMAZ LTDA;Zanol e Thomaz;54.99;TRIANGULO DROGARIA LTDA;Triangulo;31.0;MAMYPOKO FRD CALCA MEGA XXG C/24;UNICHARM;MAMYPOKO;A;SUBIR PREÇO URGENTE;25.71;-2.727768685215493;-1.5;54.99;0.0;0.0;56.49;-1.5;-2.7277686852154934;🟢 Ganho Rápido;🟡 Média;Avaliar aumento de preço com baixo risco competitivo.;3
7898656390636;MAMYPOKO FRD CALCA MEGA P C/46;54.99;6;ZANOL E THOMAZ LTDA;Zanol e Thomaz;54.99;TRIANGULO DROGARIA LTDA;Triangulo;44.0;MAMYPOKO FRD CALCA MEGA P C/46;UNICHARM;MAMYPOKO;A;SUBIR PREÇO URGENTE;25.71;-2.727768685215493;-1.5;54.99;0.0;0.0;56.49;-1.5;-2.7277686852154934;🟢 Ganho Rápido;🟡 Média;Avaliar aumento de preço com baixo risco competitivo.;3
7898663111637;GIOVANNA BABY BODY SPLASH TURQUOISE 260ML;34.99;3;ZANOL E THOMAZ LTDA;Zanol e Thomaz;34.99;TRIANGULO DROGARIA LTDA;Triangulo;11.0;GIOVANNA BABY BODY SPLASH TURQUOISE 260ML;;;;SEM CUSTO;;;;34.99;0.0;0.0;;;;🟠 Produto Sem Custo;🟡 Média;Regularizar custo/cadastro antes da decisão.;3
7898663111767;GIOVANNA BABY DES CR BISNAGA B.VANILLA 60GR;12.99;4;ZANOL E THOMAZ LTDA;Zanol e Thomaz;12.99;TRIANGULO DROGARIA LTDA;Triangulo;4.0;GIOVANNA BABY DES CR BISNAGA B.VANILLA 60GR;;;;SEM CUSTO;;;;12.99;0.0;0.0;;;;🟠 Produto Sem Custo;🟡 Média;Regularizar custo/cadastro antes da decisão.;3
7898919412174;MONANGE CP CACHOS PERF 300ML;9.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;9.99;TRIANGULO DROGARIA LTDA;Triangulo;1.0;MONANGE CP CACHOS PERF 300ML;;;;SEM CUSTO;;;;9.99;0.0;0.0;;;;🟠 Produto Sem Custo;🟡 Média;Regularizar custo/cadastro antes da decisão.;3
7898970868330;MAGNESIO L-TREONATO 60 CAPS;59.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;59.99;TRIANGULO DROGARIA LTDA;Triangulo;12.0;MAGNESIO L-TREONATO 60 CAPS;;;;SEM CUSTO;;;;59.99;0.0;0.0;;;;🟠 Produto Sem Custo;🟡 Média;Regularizar custo/cadastro antes da decisão.;3
7899095264182;STOMALIV ABACAXI 1 ENV 5G;0.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;0.99;TRIANGULO DROGARIA LTDA;Triangulo;52.0;STOMALIV ABACAXI 1 ENV;;;;SEM CUSTO;;;;2.0;0.0;0.0;;;;🟠 Produto Sem Custo;🟡 Média;Regularizar custo/cadastro antes da decisão.;3
7899095264199;STOMALIV GUARANA 1 ENV 5G;0.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;0.99;TRIANGULO DROGARIA LTDA;Triangulo;30.0;STOMALIV GUARANA 1 ENV 5G;;;;SEM CUSTO;;;;0.99;0.0;0.0;;;;🟠 Produto Sem Custo;🟡 Média;Regularizar custo/cadastro antes da decisão.;3
7899470804590;MAXALGINA BLISTER 500MG 10CPR UN;3.99;6;ZANOL E THOMAZ LTDA;Zanol e Thomaz;3.99;TRIANGULO DROGARIA LTDA;Triangulo;15.0;MAXALGINA BLISTER 500MG 10CPR UN;;;;SEM CUSTO;;;;3.99;0.0;0.0;;;;🟠 Produto Sem Custo;🟡 Média;Regularizar custo/cadastro antes da decisão.;3
